FIRE SIZE,DC,DMC,FFMC,ISI,BUI,FWI
0.35,166.81741,81.66344,96.24878,15.200172,81.481705,37.642567
0.1,366.69867,38.056465,87.07781,7.8191996,60.43331,20.560469
0.1,427.30307,57.77883,94.24454,14.595234,86.36315,37.7117
15.7,373.78165,32.719906,83.14161,4.408395,53.690075,12.500145
0.1,316.36194,84.302704,68.58311,1.403504,101.19226,6.991941
0.5,391.36862,53.186527,94.770996,16.573133,79.397865,39.34306
0.1,337.5883,67.53251,57.191025,0.5799582,90.03674,2.4172175
0.1,418.93594,52.41386,84.72256,4.8679504,79.85172,16.867558
0.1,120.794304,51.17981,81.53497,2.1839385,51.141834,6.6502085
0.1,381.96317,37.631058,90.30247,8.900823,60.388428,22.547525
0.1,nan,nan,nan,nan,nan,nan
14.2,390.07532,42.30777,93.188614,12.843144,66.56607,30.510319
0.04,710.2128,236.25987,86.56371,3.485796,257.97467,19.265617
0.27,509.60425,93.6128,95.19662,22.158482,128.30327,57.988945
0.1,358.56308,28.754173,85.51849,4.8853426,47.90438,12.713723
0.1,18.202038,8.18954,88.24672,5.926312,8.134457,5.754882
0.3,339.81476,44.39119,67.90668,0.7990949,66.925575,2.7757137
1.4,nan,nan,nan,nan,nan,nan
0.1,nan,nan,nan,nan,nan,nan
0.2,nan,nan,nan,nan,nan,nan
1.58,40.787697,21.526796,91.214165,5.5068536,21.387447,8.951195
5.0,459.40677,76.29956,89.08527,6.6879177,107.82813,24.776134
0.2,337.5883,67.53251,57.191025,0.5799582,90.03674,2.4172175
0.6,347.79572,53.37284,93.218185,11.033015,77.14785,29.62633
0.1,427.30307,57.77883,94.24454,14.595234,86.36315,37.7117
0.1,497.66284,121.82018,95.932976,18.85791,151.14528,55.11229
0.1,367.60434,48.627037,95.18435,17.45154,73.08477,39.101032
0.1,427.30307,57.77883,94.24454,14.595234,86.36315,37.7117
0.1,126.78402,47.846134,83.445465,3.2770383,49.23816,9.31043
1.32,72.54744,42.21753,90.62204,7.7728715,41.99363,16.919544
1.32,nan,nan,nan,nan,nan,nan
1.0,784.981,193.90733,94.16166,10.130714,239.75374,39.856968
0.4,708.4477,181.18285,94.598145,12.822952,221.04019,46.076187
0.1,708.4477,181.18285,94.598145,12.822952,221.04019,46.076187
